,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
16,2021-03-18 20:15:01,"Using Google Classroom? We’ve added to a growing collection of economics and personalfinance lessons, formatted so you can assign them directly to your students.    ",1,1,1,1,1,3,0.16518877,0.008683845,0.82612735,Neu,0.15650493,stlouisfed
17,2021-03-08 00:50:00,"Using Google Classroom? We’ve added to a growing collection of economics and personalfinance lessons, formatted so you can assign them directly to your students.    ",1,1,1,0,6,16,0.16518877,0.008683845,0.82612735,Neu,0.15650493,stlouisfed
21,2021-01-14 13:30:03,"Using Google Classroom? We’ve added to a growing collection of economics and personalfinance lessons, formatted so you can assign them directly to your students.    ",1,1,1,0,0,3,0.16518877,0.008683845,0.82612735,Neu,0.15650493,stlouisfed
24,2020-12-15 01:30:01,"Using Google Classroom? We’ve added to a growing collection of economics and personalfinance lessons, formatted so you can assign them directly to your students.    ",1,1,1,0,0,2,0.16518877,0.008683845,0.82612735,Neu,0.15650493,stlouisfed
42,2019-09-04 13:30:02,"The Piggy Bank Primer, available free on Apple Books, is one of many free resources that parents (and teachers) can use to teach little ones about saving and spending. Check out our curated list backtoschool    ",0,1,1,0,6,5,0.05678131,0.019664714,0.92355394,Neu,0.037116595,stlouisfed
53,2018-12-05 23:45:00,Elementary kids can learn about trading and apple pie with an EconLowdown lesson on a book Holidays  ,0,0,1,1,1,2,0.048974745,0.027030101,0.92399514,Neu,0.021944644,stlouisfed
