,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2020-04-21 21:20:01,"For more on the Amazon of Transportation, see 'Large, unbeatable numbers' in the Grant's issue dated November 1, 2019.   ",1,1,0,1,2,10,0.19054264,0.015744332,0.79371303,Neu,0.17479831,grantspub
4,2019-05-10 10:53:02,"Andrew Park, senior editor at S&P Global’s LCD unit, joins Grant’s to discuss all things credit.    ",0,1,0,0,5,7,0.033126436,0.031889793,0.9349838,Neu,0.0012366436,grantspub
5,2019-03-25 18:38:04,Big week ahead for South Africa and the rand (EM proxy).  Thursday - SARB interest rate decision.  Friday - February trade bal. & Moody's announces whether or not it has joined S&P & Fitch in cutting S.A.'s sovereign rating to junk.  ,1,1,0,0,4,10,0.23329423,0.32469812,0.44200772,Neu,-0.09140389,grantspub
6,2019-02-24 02:09:00,"Jim and Evan discuss recent happenings, with European credit and banking in focus.    ",0,1,0,0,7,16,0.04227533,0.034492772,0.9232319,Neu,0.007782556,grantspub
11,2018-04-26 22:07:03,Almost Daily Grant's 4/26: Your Face is my case     $FB        ,0,1,0,0,2,3,0.050735902,0.032042492,0.9172216,Neu,0.01869341,grantspub
