prediction_day,5_min_macro,abc,abnormalreturns,activistshorts,activiststocks,advisorhubinc,alderlaneeggs,allstarcharts,barbariancap,bbcbreaking,benzinga,bespokeinvest,bluegrasscap,breakingviews,breakoutstocks,brunicharting,business,calculatedrisk,callum_thomas,charliebilello,chicagostock,chitownba,cnbc,cnbcnow,cnnbrk,danzanger,davidschawel,dcdaytrader,dealbook,deitaone,dkellercmt,fainvestors,fattailcapital,financialnews,firstadopter,footnoted,foxnews,ft,ftfinancenews,fundiescapital,fundylongshort,gfmag,grantspub,greatquarter,harmongreg,hedgefundinvest,herbgreenberg,hmeisler,ianbremmer,ibdinvestors,iimag,incredibletrade,investorslive,ivanthek,jasonleavitt,jimcramer,joelkruger,john_hempton,johnscharts,justinwolfers,keithmccullough,kerrisdalecap,lizannsonders,lmt978,manualofideas,mark_dow,markarbeter,marketclub,marketfolly,markets,marketwatch,markflowchatter,markyusko,matt_levine,michaelbatnick,mjmauboussin,modestproposal1,muddywatersre,newsquawk,noahpinion,nypostbiz,nytimesbusiness,optionshawk,paulkrugman,peterlbrandt,peterschiff,profgalloway,qtrresearch,reddogt3,reutersbiz,ritholtz,ritholtzwealth,robintheblack,ryandetrick,schuldensuehner,sjd10304,sjosephburns,skynews,soberlook,spdjindices,steve_hanke,stlouisfed,stockcats,stockitchen,stocktwits,stockwinnerscom,super_trades,the_real_fly,thebubblebubble,thesquaremile,thestalwart,timmerfidelity,tmfjmo,tmtanalyst,topdowncharts,truthgundlach,tylercowen,usatoday,usatodaymoney,valuewalk,wallstcynic,worldfinance,wsj,wsjmarkets,wu_tang_finance,zerohedge,y
2018-04-16,,-0.785182466,0.084750024,,,,,,,,-0.9495728,-0.637690661,0.05006288,,,,-0.22793627937931032,,-0.2364459075,,,,-0.11927575302631578,-0.4545039025,-0.93398035,-0.10477579,0.9384333,,0.21553845,,,,,,,,-0.029180385,,,,,-0.8979183,,,0.024830459,,,-0.37129402499999997,-0.42361328,,,-0.13399562,,,,-0.3641553565,,-0.0050102435,,,,,,0.18409844,,-0.21509135,,,,-0.32456511,-0.5012710756714286,,-0.13453113,,,,,,,-0.014146816,-0.68543616,0.095183296,,,,-0.02149766,-0.0376651772875,-0.1976347,0.09111655,-0.72007664,-0.28693012,,0.028739396666666667,0.62990487,-0.35013211000000005,-0.17812316587500002,-0.21532193,0.45318666,,,,,,,0.28746095726666665,,,,,,-0.4595298,,,,,,,-0.37447922087999996,-0.03591362735000001,-0.814437,,,-0.22842924490909092,-0.6218184883333333,,-0.4184058353999999,1.0
2018-04-17,,-0.018754661,,,-0.33755732,,,0.08219164425,,,-0.328302425,-0.8325109,,-0.242993185,,,-0.08736001538461538,,,,,-0.00040514022,-0.22596470677083333,-0.50502386,,,,,0.8134233,,,,,,,,,-0.7421786333333333,,,,,,,,,,0.3718944476666666,,,,,,0.030182822499999998,,,,,,,,,,,,,,,,-0.4440244015,0.10897420955555555,,-0.044468615,,,,-0.098918766,,,,-0.2821907,0.48462026999999996,0.093427165,,-0.7465953,,-0.92403877,,0.3995995895,0.213429064375,,0.51248163,0.021802448,-0.7184453,,-0.14030151667142857,-0.439390002,,,0.084768526,,,,,,,,0.010833845,,,0.06060736,0.086971946,,,0.2585954,,,0.008568708,-0.2779730035,,,,-0.16866947075,-0.22711242979999996,,0.08496308,1.0
2018-04-18,,0.12325699,,,,,,,,,,,,,,0.0859684,-0.012746508069230757,,,0.8894387,,,0.0750580106,0.68880624,,,,0.0059585758,-0.50286427,,0.59284306,,,,,,-0.43612772,0.9155732,,,,,,,,,,0.012569060100000001,-0.54535735,0.050903507,,,0.3528416,-0.380474645,,0.166443919,,,0.82624775,,,,-0.33543485,,,,,,,-0.47751234800000003,-0.07616490818181819,,,,,,,,,,0.03267026,-0.3691120375,0.4342487775,,,,-0.14440435000000001,0.14622312999999998,0.3170083316666667,-0.398500556,,,0.013513587,0.90950537,0.58079587,-0.4557745625,,,,0.19753914,,,,,,,,0.7102924,-0.08712501166666668,,,-0.9194563,,,,,,0.17260376,-0.4800171986,-0.0006486513,,,-0.1273552117142857,0.5139334,,,0.0
2018-04-19,,0.033110067,,,,,,-0.193385125,,,-0.10287483,-0.383736615,-0.12040424500000001,0.49877055,,,0.1769436637,,,-0.10166977666666666,,,-0.07902610369999999,-0.32517826666666666,,,,,-0.30082920849999994,,0.110638514,,,,-0.91577485,,,-0.209757546,,,,,,,,,,0.026374405000000004,,-0.25819200499999995,,0.55377764,,0.31567514,,-0.106457045225,,,,,,,,,,,,,,0.503742335,-0.19482368789166662,,-0.8025389,,0.9138473,,,,,,0.0914303,-0.05255851812500001,0.0504607,,,,-0.013056435000000002,0.0514670688,0.07518184955,0.04856053166666666,-0.8583001,0.16659588,0.01320751,-0.8886321,0.42801434,-0.030610472,0.06196305,-0.150259095,,,,,,,0.6006837,,,0.028920904,-0.7604732750000001,-0.8372273,0.06052651,-0.7958685,0.0625242,,,,,-0.148566325,0.07757861566666667,0.111962782,,,0.3191534825,0.3293083844,,-0.16426554325,0.0
2018-04-20,-0.25422025,,0.03534419,,,,,-0.7069533,,,0.2749894952,-0.098759135,,0.5215282099999999,,-0.044912465,0.018127713153846144,,,0.61945766,,,-0.020921898680000002,-0.7227595200000001,,0.9090859,,,,,,,,,-0.7898309933333333,,,,,,,,,,0.16435309,,-0.0028471835,-0.80098283,,-0.32135803,,-0.16626243,,0.067740852,,-0.23844116880000002,,,0.080975026,,,,,-0.08663812,,,,,,0.4792127125,-0.6134251360875,-0.43962522165,-0.08572463,,-0.22254879033333333,,,,-0.95836216,,-0.83387953,-0.18379787139999998,0.62585646,,,,-0.180057514,,0.06943215033333333,-0.0976628255,-0.22103381,,,,,0.08492382028888888,,,,0.04015236,,,,,,0.92598695,,,-0.479940325,0.92127,,-0.45817283,0.193406715,,,,,0.005049821,0.26097891125,0.022655762566666668,,,-0.32131144566666664,-0.9562292,,,0.0
2018-04-23,,-0.8166656,,,-0.043413453,,,-0.36642447,,,0.3717435,0.014209456333333348,0.6695093,,,,0.08660454657142858,,-0.05818501016666667,,,,-0.02424943476153846,-0.9413275,,,0.4305836,,,,,,,,,,-0.38310522,-0.8882978333333332,,,,,,,0.1716425,,,,0.040863448999999996,0.15133727,,-0.80045456,,0.028419057,,-0.47338694,,,0.101244445,,,,,-0.11306946,,,,,,-0.956434,-0.34601709345,,-0.04291790400000001,,,,0.0172979375,,,0.09072473,,0.19672494359999998,0.15174721123333335,-0.07055481,,,-0.6303384866666667,0.47916335,0.041284480625,-0.023177809999999993,0.040816322,,0.021339271,,-0.8077658,-0.24938990000000003,-0.09632791666666667,-0.57730385,,0.027616195,,,0.10627766,,-0.6216533793333333,0.5569806,,-0.23281875,-0.09252900000000003,,0.23708487000000003,,-0.06948984,,-0.47899089566666664,,,-0.20511176180000001,0.0682214495,,,,-0.41293746216666666,,,0.34774822,0.0
2018-04-24,,-0.36731503320000003,,,0.0415255,,,-0.052413918,,,0.60556838,-0.93162507,0.4988535,-0.73826414,-0.8286695,-0.26047182,-0.02046535970000001,,,,,,-0.11653294424117647,-0.08033690000000004,,,,,-0.3806608165,,-0.016847981,,,-0.07640691,,,,0.07306902053333333,,,,,,,,,,-0.113442355,,0.048779581666666676,,,,-0.36680663,,-0.09557284133333332,,,,,0.32380298,,,0.2818778125,,,,-0.9165377,,-0.40761825664,-0.23761348996049997,,,,,,,-0.207476788,0.81296444,,0.84172374,-0.16224629373333332,0.42472020850000003,,0.75963765,,0.14052837,,-0.2009109033333333,0.3244480027272727,-0.2534398575,0.035990782,0.013091404,,,-0.2711716265,0.4637916925,-0.46423839775,,,,,0.032463843,,0.12474369126666666,,,-0.08249506466666666,-0.22685442349999999,-0.2095165728571429,-0.10240158940000002,0.039304778,-0.09199706,,,-0.60954684,,0.03437956775,-0.07971170880000002,0.019715140275,,,-0.0796801311076923,,,-0.14368426582222224,0.0
2018-04-25,,-0.95502406,,,,,,,,,-0.04296201066666666,-0.3901222392,,,,,-0.3778928954,,,,,,-0.081732736626,-0.7502627592307692,,,,,-0.45801835799999996,,0.06572487499999999,,,,-0.76924393,,,-0.177300811,,,,,,,0.07036984,,,-0.049754955,0.000853166,-0.0278568675,,0.03163171,,-0.25564468549999997,0.038548465000000004,-0.7841196266666667,,,-0.9640143,-0.031346783,0.102653168,,-0.9571647,-0.2059976,,,,,,-0.5789223316666666,-0.4957849881739131,,-0.011379701999999998,,,,,,-0.0561840215,,,-0.3410275442857143,0.13204926,,0.08524509,,-0.021122166,-0.20237197256666664,,-0.4523604829411765,0.023679202,,,,0.9116127,-0.3917053330909091,-0.32588683,0.102856584,,0.103063172,,,,,-0.16027568875,,,0.019352337,-0.28129420774999997,,0.057124748,,0.025879802,,,,,0.06593363,-0.2911479232,-0.19023499,,,-0.5436329963333333,,,-0.5432514475,1.0
2018-04-26,,-0.16963401460000002,,,,,,0.036938835,0.6035148,,0.619302144,-0.09223036635999998,0.32003259933333333,0.030621569999999994,,,0.05857579568181819,,,,,,-0.111937042459375,-0.306353671675,,,0.0424612527,,,,,,0.0149459765,,-0.96382666,0.0540114035,,0.27390235566666665,0.6931255,,,,,0.48634581,0.15458965891666668,,,0.0102673507,0.00054118596,0.57122849,,0.46084570175,,,,-0.057852842,,,0.440538388,,,,,-0.0605510245,,,,,,-0.2835408486666667,0.06962249235294118,-0.7982961,0.26139766,,-0.043805603,,,,0.016948765,,0.8938986,-0.38845460607142857,0.2783375,,,,0.12457411219999999,,0.03712330915,0.5522338963076924,0.022448318,-0.13382515,0.041991721499999995,,0.60045326,-0.22351360614,-0.596828952,-0.25854903500000004,,,,,,,0.497069005,,,,-0.9311681350000001,,0.4277050425,0.052672923,,,0.13137291,,,-0.284787431,0.163140012,,,,0.568272465,,-0.044125065,-0.04874114666666666,1.0
2018-04-27,-0.14602853,,0.0024715457,,,,,-0.8288597,,,0.23372113149999998,0.01387020585,0.09246870043333334,-0.05918964674999999,,,0.25662441064583336,,,0.476923827,,,-0.036866469174693876,0.328230936,,,,,-0.01131336999999999,,,,-0.15580738,,0.029521539999999995,,,0.1624764125,,,,,0.01869341,,0.041947998,,,,,-0.5277831113333332,,,0.195312961,-0.051687953,,-0.03855585219999999,,,-0.26836297000000003,-0.6885853,,,,-0.035911950500000005,,,,0.03989494,,0.2536066866666667,0.039161191777777785,-0.92529184,,,0.030461846,,0.07736759,,0.055502146,0.015795114,,-0.3503793,0.3796778597357143,,,,-0.46012892,,0.212849975,0.6186703357142856,-0.2746012811,,,,0.481159565,-0.22905848,,0.5127729825,,,,,0.6112702,,0.2251815632857143,,,-0.147131445,,,0.6752211999999999,-0.3926692733333333,0.07519857,,,,,-0.6717358,0.052551344,-0.04271896,,,0.358575936092,,,-0.22568657443333331,0.0
