prediction_day,abc,allstarcharts,benzinga,bespokeinvest,business,cnbc,cnbcnow,dealbook,dkellercmt,ft,hmeisler,ibdinvestors,incredibletrade,jimcramer,johnscharts,lmt978,markets,marketwatch,nytimesbusiness,optionshawk,profgalloway,reddogt3,reutersbiz,robintheblack,ryandetrick,schuldensuehner,sjd10304,sjosephburns,skynews,stocktwits,thestalwart,usatoday,usatodaymoney,wsj,wsjmarkets,zerohedge,y
2018-04-18,-0.1474521085,0.06462064575,-0.29603395899999996,-0.7661704625333333,-0.08564564144992408,-0.06912443340440044,0.1079428715,0.06804350433333331,0.16107066666666667,-0.15213812612222222,-0.006562557922222213,0.19896242879999998,-0.134687612,-0.13073939763772896,0.2684645382,0.16662800252799997,-0.3711942035333333,-0.06453516711637325,0.0006587928639506108,0.3806737015,-0.30425915796416664,0.30451745775555555,-0.2260481317244444,0.030188651799999987,0.32573277599999995,0.13676341733333333,-0.2592334494651587,-0.3459344118666666,0.3258005176666667,0.21967156759111103,-0.11210281832888887,-0.0511323733950476,-0.24152598768111105,-0.1584151456199134,-0.17796503761333332,-0.029829852383999968,0.0
2018-04-19,-0.06450074566666665,-0.01845277808333333,-0.27836091899999993,-0.6604154597999999,0.003911835870707384,-0.06827850565577062,-0.03338651722222219,-0.05662849083333331,0.17304477533333334,-0.12838719133333332,0.01517326389333333,0.0698470060666667,0.0950314693333333,-0.11955535540576923,0.489040814,0.170169184764,-0.08934970449999996,-0.11230189647226788,-0.0156106643616667,0.25312053533333334,-0.2340098631583333,0.22755513852777778,-0.1428841847427778,0.018663817022222213,-0.05097418266666667,0.23652824599999997,-0.19198800033984126,-0.20481409226666666,0.21854903353333335,0.3774262230266666,-0.033311895386666665,-0.0636312987173333,-0.15957909048444446,0.0029439204605339053,0.06578567439555558,-0.07146340438666665,0.0
2018-04-20,-0.010328680999999996,-0.2572723087166667,-0.10850911793333332,-0.45526581973333335,0.023834492414199833,-0.05111633619786547,-0.28750957127777776,-0.15824470909999994,0.17398861439999996,-0.09309208404444447,-0.2326142986244444,-0.09462147366666665,0.03865497933333332,-0.14741122249333333,0.4092200406666666,0.09385292,0.11772546303333337,-0.29054918754066256,-0.07814238039999997,0.35532011583333334,-0.2180979384858333,0.16594859159111108,-0.11885281200555556,0.01545017624444444,-0.4050772346666667,0.30294135599999994,-0.10159151155156086,-0.12364029933333333,0.09111920700000001,0.4753946029066667,0.02588303933333333,-0.027236447992,-0.02778014741555554,-0.0851851413256854,-0.19987704068888884,-0.09813202164333332,0.0
2018-04-23,-0.24158654746666663,-0.33290106615,0.11100958105333332,-0.26484878688888885,0.06156743633663001,-0.03452411767990166,-0.513374784,-0.25348371613333326,0.16390218386666666,-0.3213882814666666,-0.44884597914222224,-0.05637819486666666,-0.2271984306666667,-0.24475586862499998,0.32963943259999995,0.012846057333333341,-0.1835427495,-0.3207741788055387,-0.010856408465000023,0.2916979144111111,-0.34159595095555556,0.11622085372944445,-0.06296205364166664,0.01653190313333333,-0.6375346506666666,-0.01541793266666669,-0.13672908510105822,-0.09107121595555552,-0.17191819566666663,0.13059345834222225,0.11939546666666666,-0.07315215146666665,0.025316755919999982,-0.1877235026785714,-0.45449221843999993,0.05625143581666667,0.0
2018-04-24,-0.32096201606666663,-0.27688039838333334,0.3203821533733333,-0.4331699373111111,0.042641023105201445,-0.05502815687280235,-0.41978822355555556,-0.3409087485999999,0.10028998539999999,-0.22140405071111108,-0.4072515809933333,-0.038687173644444454,-0.4486212446666667,-0.2088803763011111,0.24219122219999997,0.08329947883333333,-0.25974778824666667,-0.32521490105534334,-0.06999695881444444,0.34288862966222217,-0.16862679057777777,-0.010916540826666668,0.06234405363131315,0.015357682733333333,-0.7687562686666667,-0.30326830866666665,-0.17437611854222224,0.1202714695888889,-0.3285677469166666,0.09519895975111106,0.05330476286666666,-0.05052857569666666,0.02216026803222221,-0.16687553919462755,-0.6868133487466666,-0.004252872357407393,0.0
2018-04-25,-0.5730031354533334,-0.21188602646666665,0.2513198751377778,-0.41438253280000004,-0.09988754573853481,-0.07122757769595471,-0.5778227468547008,-0.37451402046666654,0.06167090233333329,-0.2592262740577777,-0.31207226266666666,-0.026070817722222243,-0.34825137266666667,-0.42042598009944443,-0.20821083886666664,-0.015390861999999991,-0.3954812616595555,-0.3926069427418821,-0.14560682176579365,0.27443615917999997,-0.12051228486666668,-0.09801990252722222,-0.07868726354200829,0.0147641986,-0.8886320999999999,0.012516394666666708,-0.2434763801917845,0.008175868000000003,-0.23502396706666662,-0.024354181112222206,0.051256768159999994,-0.019107703159999993,-0.06469237763555555,-0.3066111534287179,-0.8705266943733332,-0.18270308470259258,1.0
2018-04-26,-0.49136216970666663,-0.1081336994,0.38398962083555555,-0.3257904147288888,-0.07258345839961376,-0.08704238398183206,-0.4919496410198718,-0.41110901979999986,0.058193031599999945,-0.07378917444888893,-0.19273057476666666,0.19149134899999998,-0.1158519920833333,-0.3265117526311111,-0.07107786726666668,-0.03959260833333333,-0.4259935751613333,-0.24355515225332977,-0.23889800485999996,0.2748930698644444,-0.032051165355555584,-0.07125057773333332,0.11873687416370493,0.023832299166666633,-0.8886320999999999,0.20252682933333335,-0.2607840148183165,-0.2018006523888889,-0.23859338848333334,0.10505668567555553,0.17296771242,-0.09748250895666666,-0.012706996596666673,-0.047959761577094,-0.9562291999999999,-0.1544355616033333,1.0
2018-04-27,-0.3962049318533333,-0.3083358146666666,0.33998723076666665,-0.22126518916377777,0.028628025128524505,-0.07563960325552402,-0.19580330562615386,-0.2883230798333332,0.05770940346666659,0.042261950659999985,-0.07231508324666668,-0.012578384388888864,0.12274285104999999,-0.22940547544444442,-0.14453139086666666,-0.0392713657,-0.22497116464088887,-0.12228687397280574,-0.29710434673396824,0.29393831379412694,-0.14766642639111113,0.01663153837055556,0.30472826736221426,0.030981452299999938,-0.8886320999999999,0.34127677100000003,-0.2670797317888485,-0.3678577059777778,0.022163858600000003,0.1507460515585714,0.35270547367999994,-0.2957586973533333,-0.003288597979999988,0.12418485513852989,-0.9562291999999999,-0.19285147419851845,0.0
2018-04-30,-0.27732682369333334,-0.2551901116,0.23570748634311106,-0.05286596077199998,-0.005990747762247506,-0.02871471167967178,0.04643927847867518,-0.18483819576666655,0.060220017933333245,0.030099466868888862,0.04782294766,0.06860079142222224,0.18020982148333334,-0.09289996863111107,-0.1946957147333333,-0.0020846541999999975,-0.20187901906488886,-0.08749814716655943,-0.13513338503460315,-0.10715292217047623,-0.03813032152666668,0.17118914353,0.29053948307500926,0.034540824166666616,-0.5160292066666666,0.35118427599999996,-0.1529003183401212,-0.2787914056833333,0.34281670634999994,0.08940367790530157,0.30024131477333327,-0.21702948235,-0.011391404546666675,0.22129698957290939,-0.635260183,-0.3692886315703703,0.0
2018-05-01,-0.20362507419999998,-0.15906914742222222,0.20964602197448878,0.01636193037533338,-0.022275229844434065,-0.016171123431255395,-0.1686901575831624,-0.1006543675999999,0.030537070166666604,-0.13462010147777778,0.05466530456666666,0.01718139412222226,0.18145424058333334,-0.1767811836511111,-0.22021954426666662,0.02190878063333333,-0.08250009815555553,-0.13000078017817981,-0.23265541672486767,-0.4361298573861905,0.09616163007111109,0.1352841502911111,0.064008731754471,0.025443969266666634,-0.6067122186666667,0.3002233076666666,-0.1112279415713939,-0.2787095846444444,-0.009925449233333328,0.12270504369620952,0.2325094061433333,-0.24011003869999997,-0.012166262146666667,0.15958400200379683,-0.3784849694,-0.5285725432755555,1.0
